Time, Nose_Y
30.20917,-0.4723472
30.24521,-0.4726068
30.28287,-0.4725291
30.31682,-0.4724974
30.34847,-0.4722067
30.38434,-0.4716738
30.42119,-0.4705521
30.45752,-0.4702198
30.49264,-0.4700221
30.52907,-0.4702502
30.56418,-0.4717992
30.6007,-0.4725684
30.63956,-0.4730881
30.67555,-0.4730271
30.70796,-0.472393
30.73921,-0.4719468
30.77575,-0.4716509
30.80764,-0.4728087
30.84016,-0.4743949
30.87529,-0.4756757
30.90807,-0.4769527
30.93981,-0.4771627
30.97242,-0.4771737
31.00328,-0.4773246
31.03747,-0.4765042
31.06947,-0.4767023
31.10546,-0.4774185
31.13994,-0.4769087
31.17421,-0.4769852
31.20561,-0.4766135
31.24095,-0.4750091
31.27229,-0.4745772
31.30533,-0.4742914
31.34187,-0.4730952
31.37788,-0.4727287
31.40934,-0.472112
31.44674,-0.4716379
31.47399,-0.4714007
31.51437,-0.4707468
31.54725,-0.4700993
31.58228,-0.4695221
31.62128,-0.468917
31.65218,-0.4687395
31.68781,-0.4691502
31.72385,-0.4697221
31.76057,-0.470982
31.79515,-0.4718587
31.83125,-0.4716526
31.8632,-0.4716719
31.89831,-0.4711465
31.93498,-0.4710896
31.96643,-0.4712159
32.00666,-0.4709204
32.03918,-0.4704734
32.07284,-0.4694466
32.10811,-0.4688964
32.14258,-0.4681335
32.17934,-0.4672619
32.21221,-0.4665441
32.24759,-0.465657
32.28386,-0.4645435
32.32204,-0.4636076
32.35749,-0.4627575
32.38884,-0.4625479
32.42525,-0.4635631
32.45622,-0.4632095
32.4927,-0.4625927
32.52455,-0.4612162
32.55968,-0.4591646
32.59314,-0.4585554
32.62886,-0.4581502
32.66166,-0.4580553
32.69449,-0.4579685
32.72775,-0.4578909
32.76441,-0.4577926
32.79735,-0.4577331
32.82951,-0.4575284
32.86618,-0.4572902
32.9001,-0.457141
32.93433,-0.4569668
32.96725,-0.4569119
33.00491,-0.4568521
33.03578,-0.4569106
33.07166,-0.4570316
33.1031,-0.4574992
33.13842,-0.4581509
33.1701,-0.4590062
33.20757,-0.4599997
33.24017,-0.4607258
33.27766,-0.4613202
33.30667,-0.4618158
33.34044,-0.4621796
33.37212,-0.4624872
33.40817,-0.4632709
33.44075,-0.4639143
33.47304,-0.4647619
33.50572,-0.4655242
33.54052,-0.4657945
33.57271,-0.4661993
33.60425,-0.4663555
33.63622,-0.4669473
33.67592,-0.4675285
33.70316,-0.4681927
33.73832,-0.4688829
33.77385,-0.4691701
33.80141,-0.4694696
33.83807,-0.4697973
33.87136,-0.4701114
33.90858,-0.4704531
33.94096,-0.4707932
33.97607,-0.4708369
34.00878,-0.4712962
34.03928,-0.4716316
34.07605,-0.4713664
34.11053,-0.4711359
34.14229,-0.4702864
34.1737,-0.4697093
34.21283,-0.4696336
34.24338,-0.469346
34.275,-0.4699469
34.30706,-0.469484
34.33808,-0.4683749
34.37318,-0.4671372
34.40851,-0.4638112
34.44217,-0.4610815
34.47645,-0.4596543
34.50868,-0.4584033
34.54519,-0.4584058
34.5776,-0.4591081
34.60938,-0.4592368
34.64179,-0.4608886
34.67833,-0.4634014
34.71141,-0.4649502
34.74029,-0.465219
34.77621,-0.4631905
34.80796,-0.460279
34.84396,-0.4563255
34.87452,-0.4513925
34.90533,-0.4460296
34.94049,-0.4399863
34.97129,-0.4343113
35.00588,-0.4309033
35.03555,-0.4274836
35.06974,-0.4237382
35.10814,-0.4213155
35.14338,-0.418904
35.17265,-0.4170389
35.20769,-0.4163297
35.24284,-0.4145432
35.27786,-0.4126021
35.31174,-0.4111626
35.34487,-0.409725
35.37855,-0.4092412
35.41132,-0.4098057
35.44733,-0.4111679
35.48082,-0.4120002
35.51473,-0.4127765
35.54501,-0.4125106
35.58156,-0.4125118
35.61609,-0.4130425
35.65132,-0.413626
35.68231,-0.4143576
35.71792,-0.4143573
35.75132,-0.4143574
35.78216,-0.4143575
