Time, Nose_Acceleration
29.67083,149.8563
29.70653,184.9023
29.73889,72.65434
29.77405,88.12301
29.80593,108.3471
29.83832,63.53017
29.87433,52.80751
29.90652,38.72515
29.94256,42.53683
29.97475,81.67229
30.01119,30.69683
30.0442,64.58734
30.07257,31.95226
30.10747,49.85896
30.13877,18.86004
30.17914,64.2216
30.20917,35.42059
30.24521,79.76038
30.28287,52.75354
30.31682,48.18497
30.34847,29.34145
30.38434,56.47239
30.42119,122.257
30.45752,51.01056
30.49264,50.21699
30.52907,58.45228
30.56418,176.7527
30.6007,170.4755
30.63956,145.0129
30.67555,95.01962
30.70796,78.63155
30.73921,87.97505
30.77575,54.92609
30.80764,103.9731
30.84016,151.5999
30.87529,91.568
30.90807,74.90043
30.93981,44.2746
30.97242,214.5871
31.00328,321.4904
31.03747,341.4856
31.06947,249.3475
31.10546,133.965
31.13994,69.14532
31.17421,108.782
31.20561,210.414
31.24095,178.7547
31.27229,208.6411
31.30533,304.4749
31.34187,222.1515
31.37788,238.9184
31.40934,136.3912
31.44674,171.3794
31.47399,189.6234
31.51437,186.5215
31.54725,156.1788
31.58228,101.8389
31.62128,38.19802
31.65218,12.93444
31.68781,27.11581
31.72385,41.2288
31.76057,109.0893
31.79515,99.22035
31.83125,106.1905
31.8632,171.6415
31.89831,174.9057
31.93498,75.50272
31.96643,85.64617
32.00666,123.034
32.03918,132.4495
32.07284,145.8763
32.10811,75.98982
32.14258,74.00642
32.17934,111.4718
32.21221,66.50753
32.24759,62.5968
32.28386,84.95882
32.32204,80.79996
32.35749,132.1385
32.38884,154.8595
32.42525,188.3515
32.45622,127.3007
32.4927,98.38011
32.52455,144.1886
32.55968,159.0845
32.59314,75.63634
32.62886,67.8335
32.66166,48.27956
32.69449,34.27917
32.72775,7.702628
32.76441,14.948
32.79735,33.52197
32.82951,83.06846
32.86618,29.90242
32.9001,17.85644
32.93433,8.944668
32.96725,33.37311
33.00491,22.54962
33.03578,36.31738
33.07166,32.49138
33.1031,57.55177
33.13842,55.06782
33.1701,87.32141
33.20757,63.92055
33.24017,41.45601
33.27766,47.48691
33.30667,39.58207
33.34044,37.14994
33.37212,32.66473
33.40817,56.33125
33.44075,71.41969
33.47304,99.63485
33.50572,89.56861
33.54052,73.00318
33.57271,36.88348
33.60425,30.19673
33.63622,51.49598
33.67592,34.77269
33.70316,39.59077
33.73832,40.54314
33.77385,22.91336
33.80141,32.83358
33.83807,22.85155
33.87136,19.99271
33.90858,35.58491
33.94096,32.22751
33.97607,35.67329
34.00878,67.45808
34.03928,71.70929
34.07605,90.94024
34.11053,79.38192
34.14229,100.4665
34.1737,105.4639
34.21283,94.97269
34.24338,122.2349
34.275,168.382
34.30706,116.6076
34.33808,185.6472
34.37318,196.1997
34.40851,320.6036
34.44217,335.915
34.47645,306.213
34.50868,357.5098
34.54519,98.04541
34.5776,118.5331
34.60938,55.58274
34.64179,134.5502
34.67833,261.9133
34.71141,123.5282
34.74029,52.48946
34.77621,132.8606
34.80796,163.9186
34.84396,374.2497
34.87452,378.2216
34.90533,361.9572
34.94049,498.6671
34.97129,435.508
35.00588,206.518
35.03555,232.551
35.06974,210.347
35.10814,144.1232
35.14338,93.12232
35.17265,94.38946
35.20769,43.14168
35.24284,128.0508
35.27786,157.7864
35.31174,130.3138
35.34487,144.5107
35.37855,22.31571
35.41132,49.13778
35.44733,48.60423
35.48082,62.73573
35.51473,81.10548
35.54501,37.54367
35.58156,28.54179
35.61609,32.02207
35.65132,33.38607
35.68231,57.39135
35.71792,0.5479387
35.75132,0.01118739
35.78216,0.01445003
