Time, Nose_X
27.27481,0.3468305
27.30722,0.3486389
27.34382,0.3493291
27.3769,0.3499389
27.40984,0.3505855
27.44145,0.3507614
27.47589,0.351159
27.5101,0.3510872
27.54266,0.3504857
27.57475,0.3503606
27.60561,0.3499147
27.64164,0.3495287
27.68248,0.3494177
27.71321,0.3490008
27.74553,0.3483865
27.7786,0.3474474
27.81498,0.3465968
27.85161,0.3456803
27.88772,0.3447356
27.92303,0.3441544
27.95574,0.342932
27.99127,0.3416961
28.02349,0.3410739
28.05737,0.3408185
28.09699,0.3410832
28.13317,0.3409227
28.1666,0.3409119
28.20274,0.3407173
28.2343,0.3408282
28.27094,0.3416556
28.30219,0.3422018
28.33631,0.3425698
28.37381,0.3428397
28.40851,0.3427344
28.44334,0.3426326
28.47598,0.3425639
28.50702,0.3424532
28.54278,0.3434235
28.57542,0.3441752
28.60766,0.3445739
28.6448,0.3449736
28.68133,0.3447371
28.7176,0.3446071
28.75395,0.3455432
28.78699,0.3466653
28.82379,0.3471573
28.85563,0.3475251
28.89225,0.3473639
28.92945,0.3467053
28.96253,0.3466903
28.9934,0.3456444
29.02974,0.3445806
29.06944,0.3441013
29.1011,0.3430145
29.13561,0.3433402
29.1678,0.3430073
29.2042,0.3423546
29.2398,0.3418188
29.2711,0.3416011
29.30401,0.3422175
29.33537,0.3425279
29.37317,0.340531
29.41226,0.3387329
29.43576,0.3377112
29.46571,0.3361631
29.50081,0.3364197
29.53559,0.3365446
29.56742,0.3356037
29.59895,0.3346657
29.63302,0.3330614
29.67083,0.3304033
29.70653,0.3289684
29.73889,0.3282997
29.77405,0.3289835
29.80593,0.3303999
29.83832,0.3308668
29.87433,0.331368
29.90652,0.3318245
29.94256,0.3316739
29.97475,0.3314188
30.01119,0.3310515
30.0442,0.3305697
30.07257,0.3302537
30.10747,0.3298377
30.13877,0.3295944
30.17914,0.3294504
30.20917,0.3289291
30.24521,0.3284027
30.28287,0.3280281
30.31682,0.3276958
30.34847,0.3278534
30.38434,0.3283463
30.42119,0.3286062
30.45752,0.3288587
30.49264,0.328748
30.52907,0.3280931
30.56418,0.3262361
30.6007,0.3243117
30.63956,0.322591
30.67555,0.3205872
30.70796,0.3189541
30.73921,0.3173985
30.77575,0.3160636
30.80764,0.3149026
30.84016,0.314045
30.87529,0.3136392
30.90807,0.3135426
30.93981,0.314344
30.97242,0.318067
31.00328,0.3221123
31.03747,0.3252821
31.06947,0.328998
31.10546,0.3306159
31.13994,0.3316976
31.17421,0.3341087
31.20561,0.3361987
31.24095,0.3385432
31.27229,0.341866
31.30533,0.3454941
31.34187,0.3492346
31.37788,0.3529926
31.40934,0.3557461
31.44674,0.358539
31.47399,0.3611334
31.51437,0.3632365
31.54725,0.3650662
31.58228,0.3657367
31.62128,0.3655572
31.65218,0.3655179
31.68781,0.3657987
31.72385,0.3662258
31.76057,0.3674003
31.79515,0.3690153
31.83125,0.370908
31.8632,0.3736254
31.89831,0.3757885
31.93498,0.3770699
31.96643,0.3767965
32.00666,0.3750583
32.03918,0.3728372
32.07284,0.3702994
32.10811,0.3686391
32.14258,0.367178
32.17934,0.3658115
32.21221,0.3652129
32.24759,0.3650611
32.28386,0.3653864
32.32204,0.3666028
32.35749,0.3690125
32.38884,0.3716913
32.42525,0.3753929
32.45622,0.3780052
32.4927,0.3793748
32.52455,0.3803895
32.55968,0.379776
32.59314,0.3799457
32.62886,0.3796825
32.66166,0.3791048
32.69449,0.3791769
32.72775,0.3791984
32.76441,0.3791291
32.79735,0.379206
32.82951,0.37872
32.86618,0.37837
32.9001,0.3785031
32.93433,0.3784386
32.96725,0.3784861
33.00491,0.3780822
33.03578,0.3774022
33.07166,0.3768178
33.1031,0.3759435
33.13842,0.3750928
33.1701,0.3742657
33.20757,0.3733603
33.24017,0.3727864
33.27766,0.3721989
33.30667,0.3714841
33.34044,0.3708445
33.37212,0.3702694
33.40817,0.3693242
33.44075,0.368005
33.47304,0.3665867
33.50572,0.3652754
33.54052,0.3644231
33.57271,0.3638847
33.60425,0.3635148
33.63622,0.3630887
33.67592,0.3626621
33.70316,0.3626833
33.73832,0.3626346
33.77385,0.3626401
33.80141,0.3626536
33.83807,0.3624624
33.87136,0.3622688
33.90858,0.3622802
33.94096,0.3622885
33.97607,0.362444
34.00878,0.3627582
34.03928,0.3627099
34.07605,0.362562
34.11053,0.3625436
34.14229,0.3625378
34.1737,0.3622785
34.21283,0.3617254
34.24338,0.3613242
34.275,0.3617665
34.30706,0.3624279
34.33808,0.3630588
34.37318,0.3628635
34.40851,0.3633984
34.44217,0.3642893
34.47645,0.366654
34.50868,0.3701107
34.54519,0.3716841
34.5776,0.3734509
34.60938,0.3742551
34.64179,0.3762466
34.67833,0.379349
34.71141,0.3810913
34.74029,0.3811291
34.77621,0.3783576
34.80796,0.3745208
34.84396,0.3693033
34.87452,0.3623857
34.90533,0.3555083
34.94049,0.3484432
34.97129,0.3432332
35.00588,0.3413586
35.03555,0.3400643
35.06974,0.3387895
35.10814,0.3381395
35.14338,0.3374777
35.17265,0.3370945
35.20769,0.3370252
35.24284,0.3370927
35.27786,0.3372647
35.31174,0.3380273
35.34487,0.3387771
35.37855,0.3392996
35.41132,0.3399065
35.44733,0.3401967
35.48082,0.340735
35.51473,0.3412669
35.54501,0.3416851
35.58156,0.3420841
35.61609,0.3422358
35.65132,0.3423909
35.68231,0.3424674
35.71792,0.3424686
35.75132,0.3424686
35.78216,0.3424687
